"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}"
0.0131911048404337,29.6386549209884,1.17984574510201,0.00659665390894284,-0.00155017389249004,0.930142055343683,-0.110233705047751,0.0982978612040826,0.000648446376276777,0.282894315446159,0.00167961860921039,0.519994030565931,0.00131207252650565,0.112826231313189,-0.00127871097855391
0.0141791493170988,29.0462710060513,1.15658430576631,0.00754276801031458,-0.00165766929864509,0.984649876330536,-0.107370084083405,0.0982972037051416,0.000741447064799455,0.282892572436587,0.001923140477403,0.519992246676969,0.00153010726669484,0.119438029998894,-0.0012454929753675
0.0151671937937638,28.4691170930634,1.13389434733329,0.00854185156283066,-0.00176236973069728,1.03736984986674,-0.104577586079842,0.0982964138791425,0.000839653797897403,0.282890479274932,0.00218049615338052,0.519990111065002,0.00176263850653956,0.125832962788836,-0.00121309999852617
0.0161552382704289,27.906819479629,1.1117697887118,0.00959216061975993,-0.00186434575494249,1.08834806592554,-0.101855250096467,0.09829547776552,0.000942894929544891,0.282887999053088,0.00245123002354296,0.519987586998885,0.00200919390111663,0.132016620396768,-0.00118152090111902
0.017143282747094,27.3590135148867,1.09020337754409,0.010691996242139,-0.00196366633239118,1.13762948428788,-0.0992020060924534,0.0982943812853114,0.00105100320543385,0.282885094548685,0.00273489812698621,0.519984637421755,0.00226931313879122,0.137994456444119,-0.00115074327067246
0.0191193717004241,26.3054593202624,1.04870324801923,0.0130336557323113,-0.0021546106384631,1.23127660629944,-0.094097271609607,0.0982916507038636,0.00128117208433031,0.282877863254146,0.00333931400110537,0.519977312904121,0.00282845621398917,0.149353852344122,-0.00109152835067144
0.0210954606537542,25.305709326994,1.00929788355465,0.0155540903889314,-0.00233572600276395,1.31864943234319,-0.0892511583416454,0.0982881093936045,0.0015289054355459,0.282868487302678,0.00399041236306941,0.5199678405397,0.00343661223136787,0.159952176143229,-0.00103531343676309
0.0228739407117513,24.4497790252201,0.975539786938514,0.0179653581346431,-0.00249073785734747,1.39218612379201,-0.0851002894071141,0.0982841370629929,0.00176589970916528,0.282857972063233,0.0046137040174128,0.519957236606078,0.00402315068204616,0.168872176815971,-0.000987163357122524
0.0246524207697485,23.6334998469509,0.943324552206166,0.0205032962023271,-0.00263853773163736,1.46112435128051,-0.0811397665624298,0.0982793387934445,0.00201533280709737,0.282845272130814,0.00527006107431819,0.519944446800257,0.00464446450403574,0.177234383810326,-0.000941221292124185
0.0264309008277456,22.8551313532264,0.912584890700601,0.0231599187026295,-0.00277945664724594,1.52567808815145,-0.0773612058338304,0.0982736380112161,0.00227641649099068,0.282830185022757,0.00595739109093206,0.519929269179636,0.00529838276838568,0.185064752092771,-0.000897389987672433
