"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}","MCC_IP1\Ia{A}","MCC_IP2\Ia{A}","MCC_IP1\Km\p2.T{N.m}","MCC_IP2\Km\p2.T{N.m}","ReferenciaTheta1\position","ReferenciaTheta2\position"
0.127995392224174,10.7213819173647,0.432296197939635,0.141042454574959,-0.00027231500059335,1.11755386077227,0.000935973431006633,0.0973238800996892,0.0138185513836046,0.28031819676963,0.0365433403826692,0.5174181879785,0.0364787744968265,0.135559283311676,1.08572917996769e-005,4.32970066083874,0.122971465515128,0.532553181283166,0.0151254902583608,0.25,0
0.129067233759011,10.7207169877249,0.432338639908438,0.142237906319345,-0.000271314009376021,1.11532507887777,0.000933898514655021,0.0973072911492601,0.01393488748405,0.28027431959263,0.0368510681488649,0.517374310866011,0.036786739598031,0.135288932067873,1.08332227699982e-005,4.32948310785887,0.122983000769991,0.532526422266641,0.0151269090947089,0.25,0
0.130139075293847,10.7200550636769,0.432381825844048,0.143430973765946,-0.000270315259459517,1.11310059166738,0.000931807439852088,0.0972905966385008,0.014050971700368,0.280230163212279,0.037158129639186,0.51733015454979,0.0370940378919487,0.135019101769253,1.08089663022842e-005,4.32926787854075,0.1229947757264,0.532499949060512,0.0151283574143472,0.25,0
0.131210916828684,10.7193937477844,0.432425682565143,0.144622422116696,-0.000269318041831174,1.11087905512075,0.000929704951113774,0.0972737865810179,0.0141668784208301,0.280185701214925,0.0374647216241987,0.517285692616232,0.0374008663172525,0.134749629386147,1.07845774329198e-005,4.32905388905125,0.123006713526997,0.532473628353303,0.0151298257638206,0.25,0
0.133354599898357,10.7180713939937,0.432515298711261,0.146998550281037,-0.00026733009038149,1.1064485196399,0.000925455873456583,0.0972398496908342,0.0143979731943069,0.280095939360937,0.0380760045959349,0.517195930888717,0.0380126206322604,0.134212205432319,1.07352881320964e-005,4.32862873984304,0.12303124523046,0.532421335000694,0.0151328431633466,0.25,0
0.135498282968031,10.7167445918818,0.432607228092842,0.149365552463285,-0.00026535096862503,1.10203509765435,0.000921154069378182,0.0972054972859934,0.0146280995820621,0.280005078485332,0.0386847260197173,0.517105070138091,0.0386218113057946,0.133676857345473,1.06853872047869e-005,4.32820501489612,0.123056585337067,0.532369216832223,0.0151359599964592,0.25,0
0.139785649107378,10.71404037674,0.432796386663245,0.154071407400861,-0.000261420644739165,1.09326264208061,0.000912436469986676,0.0971355835160985,0.0150853708932544,0.279820159076966,0.0398942823609572,0.516920150975169,0.0398322995267955,0.132612758484378,1.05842630518454e-005,4.32734395967698,0.123109152945438,0.532263307040269,0.0151424258122889,0.25,0
0.144073015246724,10.711242636239,0.43299132938073,0.158739972580753,-0.000257527819211205,1.08456337758876,0.000903602870175348,0.097064098177229,0.0155386886525617,0.279631082924043,0.0410933808395164,0.516731075061738,0.0410323209942564,0.131557537701517,1.0481793294034e-005,4.32645207735657,0.123163776377789,0.532153605514858,0.0151491444944681,0.25,0
0.148360381386071,10.7083187023405,0.433190471537493,0.163371455342652,-0.000253672947027115,1.07593832739608,0.000894697440685628,0.0969910902245899,0.0159880710858269,0.279437979511345,0.0422820696516811,0.516537971882657,0.042221923796586,0.130511319113145,1.03784903119533e-005,4.32551352092946,0.12321989012909,0.532038163074323,0.0151560464858781,0.25,0
0.152647747525418,10.7052440547772,0.433392560802959,0.167966138452957,-0.000249856287155648,1.06738802700086,0.000885754468297628,0.09691660656975,0.0164335440792393,0.27924097291831,0.04346041725957,0.516340965517452,0.0434011763345018,0.129474167675204,1.02747518322525e-005,4.32451630519371,0.123277054600937,0.531915505538826,0.0151630777159152,0.25,0
0.161222479804111,10.6985903711085,0.433802394365072,0.177046257572728,-0.000242337861568009,1.05051182992057,0.000867839944686452,0.0967633947923859,0.0173128688625791,0.278835733264703,0.0457863721748309,0.515935726302542,0.0457289138684155,0.127427084969365,1.00669433583628e-005,4.32231970108249,0.123393459295927,0.531645323233146,0.015177395493399,0.25,0
0.169797212082804,10.6911921798451,0.434215121387405,0.18598281462348,-0.000234972711586364,1.03393410765034,0.00085001289957261,0.0966048155755022,0.0181768976347232,0.278416296922557,0.0480718661750867,0.515516290377154,0.0480161541456822,0.125416207257986,9.86014963504228e-006,4.31981708961821,0.123511013498086,0.531337502023039,0.0151918546602646,0.25,0
0.178371944361498,10.6830174111968,0.434627377042603,0.194778437053407,-0.000227759977804804,1.01765147018785,0.000832360134167438,0.0964412037145566,0.0190258830567045,0.277983549414019,0.0503175675594544,0.515083543264284,0.0502635656691838,0.123441123333786,9.65537755634228e-006,4.31699059152324,0.123628588860348,0.530989842757359,0.0152063164298228,0.25,0
0.186946676640191,10.6740853073458,0.435037885793401,0.203435718682107,-0.000220697945187746,1.00165840810468,0.000814912938248665,0.0962728793037635,0.0198600783121062,0.277538337376973,0.0525241460287708,0.514638331602689,0.0524718185463916,0.121501164903098,9.45299008368451e-006,4.31384665735881,0.123745766014546,0.530603138855134,0.0152207292197892,0.25,0
0.195521408918884,10.6644339751484,0.435446164002189,0.211957138430132,-0.000213784565448385,0.985948810024982,0.00079768004798007,0.0961001499015023,0.0206797289370239,0.277081474292465,0.0546922510641723,0.514181468874275,0.0546415627440906,0.11959559065603,9.25308855656881e-006,4.31040095502983,0.123862396738821,0.530179317468669,0.015235074798875,0.25,0
0.204096141197578,10.6540971209435,0.435851697898681,0.220345055981454,-0.000207017826787577,0.970516989534551,0.000780673249688236,0.0959233114271807,0.0214850721396068,0.276613742856873,0.0568225101188376,0.513713737776249,0.0567734261924569,0.117723710830541,9.05580969638354e-006,4.30666683924581,0.123978310777946,0.529720021227235,0.0152493322256874,0.25,0
0.212670873476271,10.6431003497327,0.436253714158136,0.228601788164555,-0.000200395785077309,0.955357642296947,0.00076390859111927,0.0957426472547897,0.0222763438796611,0.27613589258439,0.0589155473425737,0.513235887823603,0.0588680335022499,0.11588488201062,8.86133965698354e-006,4.30265443137277,0.124093265586873,0.529226495058851,0.0152634716671853,0.25,0
0.221245605754965,10.6314733918165,0.436651734121089,0.236729670623534,-0.00019391640459645,0.940465301215569,0.000747397762376649,0.095558427263026,0.0230537844836152,0.275648637294635,0.0609719984368442,0.512748632836731,0.0609260208576025,0.114078441037449,8.66981404356913e-006,4.29837516380582,0.124207093898577,0.528700145148116,0.015277472549525,0.25,0
0.229820338033658,10.6192487169298,0.437045405438811,0.244730994428749,-0.000187577540698712,0.925834383686255,0.000731144850688817,0.0953709095712209,0.0238176322827857,0.275152659704121,0.0629924938286085,0.5122526555329,0.0629480191939696,0.112303710741143,8.48128026799028e-006,4.2938428739232,0.124319699522118,0.528142673492554,0.0152913230412205,0.25,0
0.238395070312351,10.6064643871338,0.437434719603107,0.252607965113184,-0.000181376946468547,0.911459320373154,0.000715149601146919,0.0951803420118114,0.0245681194745264,0.274648615320891,0.0649776477230541,0.511748611420881,0.0649346432492822,0.110560015561264,8.29573537330426e-006,4.28907288590468,0.124431067569754,0.527555964966276,0.0153050213110798,0.25,0
0.246969802591045,10.5931528085939,0.437819484554721,0.260362755209065,-0.000175312392641335,0.897334725367404,0.000699411445110646,0.0949869614069804,0.0253054769302776,0.274137130531254,0.0669280708179705,0.511237126887686,0.0668865042498882,0.108846702187066,8.11317276328349e-006,4.28407936756762,0.124541160123174,0.526941762210817,0.0153185626951505,0.25,0
0.255544534869738,10.5793461982251,0.438199614971673,0.267997481543877,-0.000169381671852506,0.883455448336394,0.000683932537357332,0.0947909945565072,0.0260299318283437,0.273618805212616,0.0688443640424327,0.510718801811398,0.0688042036482285,0.107163145883205,7.93361743334505e-006,4.27887486397823,0.124649931987761,0.526301608269323,0.0153319416344946,0.25,0
0.264119267148431,10.5650736686108,0.438574933267096,0.275514225726596,-0.000163582566528951,0.869816431038326,0.000668713490970267,0.0945926581589857,0.0267417094146443,0.273094212525105,0.0707271232146604,0.510194209352795,0.0706883377883093,0.105508733084949,7.7570764952551e-006,4.27347178031719,0.124757336433641,0.525637028979015,0.0153451523813379,0.25,0
0.272693999427125,10.5503670287617,0.438945496006133,0.282915474596103,-0.000157912377862384,0.856411719249527,0.00065374989630913,0.0943921471099671,0.0274410743953354,0.272563867960577,0.0725770485348142,0.509663865004377,0.0725396075101787,0.103882741544968,7.58349879718591e-006,4.26788404080787,0.124863382056028,0.524949737019368,0.0153581959928915,0.25,0
0.281268731705818,10.5352508705706,0.43931108514745,0.290202913410706,-0.000152369229734748,0.843237264108836,0.000639043608601698,0.0941896673096348,0.0281282166533947,0.272028316117744,0.0743946422795725,0.509128313365442,0.0743585155353422,0.102284680136402,7.41290585977969e-006,4.26212105268352,0.124968030901579,0.524240889480073,0.0153710678008942,0.25,0
