"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}","MCC_IP1\Ia{A}","MCC_IP2\Ia{A}","MCC_IP1\Km\p2.T{N.m}","MCC_IP2\Km\p2.T{N.m}"
0.178816399247703,7.37284002849841,0.329207965342272,0.409244566144336,-0.00057768892781993,1.94917637253644,0.0158376285011566,0.0901825515448794,0.0391151811558528,0.261429634039166,0.103445032374154,0.498529594476128,0.103308062336986,0.236435093988671,0.000183716490613417,59.9325058000572,2.67635239041142,7.37169821340703,0.329191344020604
0.180922757338779,7.37644711009039,0.330401566074512,0.413328396670391,-0.00054462815996066,1.92846640297298,0.0155536137796748,0.0900220602016055,0.0394831442144432,0.261005140575396,0.104419038654159,0.498105105411116,0.104289907323816,0.233922974680622,0.000180421919844228,59.961891657819,2.68605655138374,7.37531267391173,0.330384955820201
0.183029115429856,7.38074923550533,0.331618977945284,0.417368758631078,-0.000512165075752503,1.90790488591224,0.0152702615764495,0.0898617996589879,0.0398465426611634,0.260581257539108,0.105380958011351,0.497681226441895,0.105259523677199,0.231428862661155,0.000177135034286814,59.996930681701,2.6959544024125,7.37962247384923,0.331602391496737
0.185135473520932,7.38568833039096,0.332857486708341,0.421365969631314,-0.000480297980594046,1.88749595336914,0.0149878256513574,0.0897018071531896,0.0402054199511953,0.260158083419979,0.106330905421945,0.497258056072137,0.106217026775124,0.228953259143677,0.000173858777555746,60.0371504668169,2.70602390868873,7.38456950741848,0.332840940768713
0.187241831612008,7.39120991798698,0.334114564114294,0.425320355609768,-0.00044902464884423,1.86724333397501,0.0147065482259708,0.0895421184784083,0.0405598202461339,0.259735712893716,0.107268997742752,0.496835688991293,0.107162534002088,0.226496616411169,0.000170595959421261,60.0821079469155,2.71624448713291,7.3900992774706,0.334098071917348
0.189348189703084,7.39726286272061,0.335387767078979,0.429232249768909,-0.000418342375547145,1.84715039466428,0.0144266560417143,0.0893827680322849,0.0409097883016614,0.259314236942155,0.1081953534129,0.496414216194679,0.108096164438551,0.224059342872777,0.000167349210083886,60.1313871594194,2.7265962991868,7.39616062060858,0.335371344799977
0.191454547794161,7.40379914375334,0.33667480673112,0.433101991803262,-0.000388248012824823,1.82722016177451,0.0141483587522638,0.0892237888516669,0.0412553693833076,0.258893742947855,0.10911009223019,0.495993725078041,0.109018038628662,0.221641805623248,0.00016412096152626,60.1845975552716,2.737060696003,7.4027054992984,0.336658465608369
0.193560905885237,7.41077372577826,0.337973551340816,0.436929927332509,-0.000358737998808003,1.80745534180786,0.013871846562335,0.0890652126417841,0.0415966092016379,0.258474314771266,0.110013335179005,0.495574299514717,0.109928278401312,0.219244332961294,0.000160913420123085,60.24137280097,2.74762036355396,7.40968885451931,0.337957304717137
0.195667263976313,7.41814441869632,0.339282013166037,0.440716407334362,-0.000329808385653824,1.78785833103523,0.0135972963749276,0.0889070698068669,0.0419335538484027,0.258056032831708,0.110905204260788,0.495156019936602,0.110827006693967,0.216867215554573,0.00015772863794916,60.3013697631105,2.75825911040609,7.41706848086259,0.33926587057995
0.19777362206739,7.42587173636364,0.340598328495949,0.444461787543556,-0.000301454869452183,1.76843123936387,0.013324868598951,0.0887493894835688,0.0422662497306517,0.257638974195777,0.111785822319092,0.494738963422541,0.111714347370627,0.214510709334837,0.000154568475747831,60.3642672493082,2.76896179789189,7.42480487166491,0.340582301140703
